nom_dept,nom_station,code_station,nom_poll,valeur,unite,date_debut,x_l93,y_l93,longitude,latitude,date_formatee,Emplacement
HERAULT,Montpelier Antigone Trafic,FR50227,NO,6.4,ug.m-3,2023-11-25 11:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 11:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,9.7,ug.m-3,2023-11-25 07:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 07:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,3.6,ug.m-3,2023-11-25 11:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 11:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,5.5,ug.m-3,2023-11-25 11:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 11:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NO2,13.2,ug.m-3,2023-11-25 11:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 11:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NO2,8.7,ug.m-3,2023-11-25 11:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 11:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NO2,7.8,ug.m-3,2023-11-25 14:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 14:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NO2,8.8,ug.m-3,2023-11-25 15:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM10,4.4,ug.m-3,2023-11-25 12:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 12:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM10,5.5,ug.m-3,2023-11-25 12:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 12:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NOX,5.6,ug.m-3,2023-11-25 12:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 12:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,13.8,ug.m-3,2023-11-25 12:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 12:00,Montpellier
HERAULT,Montpellier Sud - Périurbain,FR50205,O3,74.2,ug.m-3,2023-11-25 12:00:00,773662,6275040,3.911560098371572,43.57059603709875,25/11/2023 12:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM2.5,2.5,ug.m-3,2023-11-25 12:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 12:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM2.5,1.9,ug.m-3,2023-11-25 12:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 12:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO,0.9,ug.m-3,2023-11-25 10:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 10:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO,0.9,ug.m-3,2023-11-25 11:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 11:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO,0.2,ug.m-3,2023-11-25 04:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 04:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO,0.3,ug.m-3,2023-11-25 06:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 06:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO,2.8,ug.m-3,2023-11-25 06:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 06:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO,-0.2,ug.m-3,2023-11-25 04:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 04:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO,1.7,ug.m-3,2023-11-25 07:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 07:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NO,12.9,ug.m-3,2023-11-25 12:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 12:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NO,6.1,ug.m-3,2023-11-25 12:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 12:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM10,4.2,ug.m-3,2023-11-25 13:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 13:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM10,3.8,ug.m-3,2023-11-25 13:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 13:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NOX,5.5,ug.m-3,2023-11-25 13:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 13:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,13.5,ug.m-3,2023-11-25 13:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 13:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM2.5,3.0,ug.m-3,2023-11-25 13:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 13:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NO,7.2,ug.m-3,2023-11-25 13:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 13:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM10,6.1,ug.m-3,2023-11-25 14:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 14:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM10,3.7,ug.m-3,2023-11-25 14:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 14:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NOX,6.2,ug.m-3,2023-11-25 14:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 14:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,7.7,ug.m-3,2023-11-25 05:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 05:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,16.4,ug.m-3,2023-11-25 06:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 06:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,15.5,ug.m-3,2023-11-25 07:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 07:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,23.3,ug.m-3,2023-11-25 08:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 08:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,13.0,ug.m-3,2023-11-25 09:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 09:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,8.1,ug.m-3,2023-11-25 10:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 10:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,8.1,ug.m-3,2023-11-25 11:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 11:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,13.3,ug.m-3,2023-11-25 14:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 14:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,28.3,ug.m-3,2023-11-24 10:00:00,766867,6279519,3.8280603367065766,43.611567228152744,24/11/2023 10:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,26.2,ug.m-3,2023-11-24 11:00:00,766867,6279519,3.8280603367065766,43.611567228152744,24/11/2023 11:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,36.2,ug.m-3,2023-11-24 12:00:00,766867,6279519,3.8280603367065766,43.611567228152744,24/11/2023 12:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,43.0,ug.m-3,2023-11-24 13:00:00,766867,6279519,3.8280603367065766,43.611567228152744,24/11/2023 13:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,36.1,ug.m-3,2023-11-24 14:00:00,766867,6279519,3.8280603367065766,43.611567228152744,24/11/2023 14:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,94.6,ug.m-3,2023-11-25 10:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 10:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,30.2,ug.m-3,2023-11-25 11:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 11:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,33.1,ug.m-3,2023-11-25 12:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 12:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,21.4,ug.m-3,2023-11-25 13:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 13:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,34.0,ug.m-3,2023-11-25 14:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 14:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,65.3,ug.m-3,2023-11-24 09:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 09:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,47.5,ug.m-3,2023-11-24 10:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 10:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,33.5,ug.m-3,2023-11-24 12:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 12:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,29.7,ug.m-3,2023-11-24 13:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 13:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,30.4,ug.m-3,2023-11-24 15:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 15:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,46.4,ug.m-3,2023-11-24 16:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 16:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,33.1,ug.m-3,2023-11-24 17:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 17:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,63.8,ug.m-3,2023-11-24 18:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 18:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,40.3,ug.m-3,2023-11-24 19:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 19:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,30.5,ug.m-3,2023-11-24 20:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 20:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,33.3,ug.m-3,2023-11-24 21:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 21:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,41.3,ug.m-3,2023-11-25 09:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 09:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,17.5,ug.m-3,2023-11-25 10:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 10:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,18.3,ug.m-3,2023-11-25 11:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 11:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,16.1,ug.m-3,2023-11-25 12:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 12:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,20.3,ug.m-3,2023-11-25 13:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 13:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,14.6,ug.m-3,2023-11-25 14:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 14:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,8.4,ug.m-3,2023-11-25 01:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 01:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,9.4,ug.m-3,2023-11-25 05:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 05:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,18.0,ug.m-3,2023-11-25 06:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 06:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,35.9,ug.m-3,2023-11-25 07:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 07:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,42.4,ug.m-3,2023-11-25 08:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 08:00,Montpellier
HERAULT,Montpellier Nord - Périurbain,FR50204,O3,54.3,ug.m-3,2023-11-24 15:00:00,764573,6288813,3.8008213471808827,43.695402765711215,24/11/2023 15:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM2.5,3.1,ug.m-3,2023-11-25 14:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 14:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM2.5,1.9,ug.m-3,2023-11-25 13:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 13:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM2.5,1.9,ug.m-3,2023-11-25 14:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 14:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NO,12.3,ug.m-3,2023-11-25 14:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 14:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NO,4.4,ug.m-3,2023-11-25 14:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 14:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM10,6.6,ug.m-3,2023-11-25 15:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM10,5.2,ug.m-3,2023-11-25 15:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NOX,8.0,ug.m-3,2023-11-25 15:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,16.8,ug.m-3,2023-11-25 15:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 15:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,48.4,ug.m-3,2023-11-25 15:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 15:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,26.4,ug.m-3,2023-11-24 23:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 23:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,16.2,ug.m-3,2023-11-25 15:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM2.5,4.4,ug.m-3,2023-11-25 15:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM2.5,2.4,ug.m-3,2023-11-25 15:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 15:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NO,8.4,ug.m-3,2023-11-25 13:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 13:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NO,17.0,ug.m-3,2023-11-25 15:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 15:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NO,5.1,ug.m-3,2023-11-25 15:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,12.9,ug.m-3,2023-11-24 16:00:00,771642,6277340,3.8868845925806363,43.59149596381382,24/11/2023 16:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,9.8,ug.m-3,2023-11-24 17:00:00,771642,6277340,3.8868845925806363,43.59149596381382,24/11/2023 17:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,7.6,ug.m-3,2023-11-24 18:00:00,771642,6277340,3.8868845925806363,43.59149596381382,24/11/2023 18:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,8.5,ug.m-3,2023-11-24 19:00:00,771642,6277340,3.8868845925806363,43.59149596381382,24/11/2023 19:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,4.4,ug.m-3,2023-11-25 00:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 00:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,4.9,ug.m-3,2023-11-25 01:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 01:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,4.5,ug.m-3,2023-11-25 04:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 04:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,5.5,ug.m-3,2023-11-25 06:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 06:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,5.1,ug.m-3,2023-11-25 09:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 09:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,4.0,ug.m-3,2023-11-25 10:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 10:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,4.1,ug.m-3,2023-11-25 12:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 12:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,4.2,ug.m-3,2023-11-25 13:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 13:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,4.9,ug.m-3,2023-11-25 14:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 14:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,6.9,ug.m-3,2023-11-25 15:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,5.7,ug.m-3,2023-11-24 11:00:00,769827,6279565,3.8647194347650875,43.61169562597388,24/11/2023 11:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,6.7,ug.m-3,2023-11-24 23:00:00,769827,6279565,3.8647194347650875,43.61169562597388,24/11/2023 23:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,4.8,ug.m-3,2023-11-25 00:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 00:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,3.4,ug.m-3,2023-11-25 01:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 01:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,5.2,ug.m-3,2023-11-25 04:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 04:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,6.8,ug.m-3,2023-11-25 05:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 05:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,12.1,ug.m-3,2023-11-25 06:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 06:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,13.0,ug.m-3,2023-11-25 07:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 07:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,18.6,ug.m-3,2023-11-25 08:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 08:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,9.5,ug.m-3,2023-11-25 09:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 09:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,5.7,ug.m-3,2023-11-25 10:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 10:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,7.5,ug.m-3,2023-11-25 12:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 12:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,8.0,ug.m-3,2023-11-25 13:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 13:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,8.7,ug.m-3,2023-11-25 14:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 14:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,12.5,ug.m-3,2023-11-25 15:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Saint Denis Trafic,FR50202,NO2,7.8,ug.m-3,2023-11-25 12:00:00,770633,6278830,3.8745991062778473,43.60500285465384,25/11/2023 12:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM10,16.7,ug.m-3,2023-11-25 16:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 16:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM10,5.8,ug.m-3,2023-11-25 16:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 16:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,9.0,ug.m-3,2023-11-25 02:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 02:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,19.3,ug.m-3,2023-11-25 16:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 16:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NOX,11.7,ug.m-3,2023-11-25 16:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 16:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,24.4,ug.m-3,2023-11-25 16:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 16:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,100.4,ug.m-3,2023-11-25 16:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 16:00,Montpellier
HERAULT,Montpellier Sud - Périurbain,FR50205,O3,64.5,ug.m-3,2023-11-25 16:00:00,773662,6275040,3.911560098371572,43.57059603709875,25/11/2023 16:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM2.5,14.0,ug.m-3,2023-11-25 16:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 16:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM2.5,5.5,ug.m-3,2023-11-25 16:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 16:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NO,36.2,ug.m-3,2023-11-25 16:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 16:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NO,6.0,ug.m-3,2023-11-25 16:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 16:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,10.3,ug.m-3,2023-11-25 16:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 16:00,Montpellier
HERAULT,Montpellier - Saint Denis Trafic,FR50202,NO2,13.3,ug.m-3,2023-11-25 16:00:00,770633,6278830,3.8745991062778473,43.60500285465384,25/11/2023 16:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM10,9.3,ug.m-3,2023-11-25 17:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 17:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM10,4.9,ug.m-3,2023-11-25 17:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 17:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,30.2,ug.m-3,2023-11-25 17:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 17:00,Montpellier
